"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"35235",0,0,1,12,6,11,1935,1880,41,28386.05078125,6049,4,1,50103.55078125,15,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"35282",1,0,1,13,3,9,1948,2256,30,56210,3826,2,1,56210,10,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,51,0,1,1,0
"35293",0,0,1,17,11,12,1940,0,37,0,1622,3,1,364996.34375,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"35304",0,0,1,11,NA,10,NA,3120,59,49494,3103,0,NA,135780,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"35310",1,0,1,17,8,10,1924,2760,54,51100,2274,0,1,100375,30,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,71,0,1,1,0
"35315",1,0,1,16,5,12,1927,1974,50,138700,1590,0,1,195275,25,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,44,0,1,1,0
"35338",0,0,1,5,7,10,1936,NA,41,NA,852,0,0,23389.19921875,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,14249.599609375,0,NA,0,1,37,NA,NA,NA,NA,NA,0
"35340",0,0,1,9,7,11,1931,0,46,0,4866,0,NA,74401.6015625,1,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"35348",0,0,1,9,9,8,1949,0,29,0,5392,2,1,41391,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,73000,0,0,0,0,2,14,NA,NA,NA,NA,NA,1
"35360",0,0,0,12,6,10,1947,0,30,0,3860,3,1,94597.046875,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"35373",0,0,1,11,5,7,1924,740,53,10950,2044,2,0,23345.400390625,10,0.600000023841858,0,0,1357.80004882812,0,0,372,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"35411",1,0,1,14,9,7,1951,2120,26,43800,2834,3,1,60308.94921875,7,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,55,0,1,1,0
"35421",1,0,1,12,NA,11,NA,75,40,NA,4673,2,NA,32558,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,0,0
"35422",1,0,1,12,9,8,1942,3590,35,22637.30078125,2416,2,1,34671.3515625,14,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,11,0,1,1,0
"35447",0,1,0,12,10,8,1942,1330,35,12045,131,2,0,19534.80078125,9,0.800000011920929,0,0,3109.80004882812,0,0,852,0,0,NA,NA,NA,NA,NA,0,0,3,9,NA,87,0,1,1,0
"35462",0,0,1,17,7,9,1925,2450,52,107342.8515625,4219,0,1,204651.84375,29,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,NA,1
"35467",0,0,1,16,11,13,1947,1936,30,29382.5,3877,0,0,29455.5,9,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,87,0,1,1,0
"35482",0,1,0,12,1,4,1932,0,46,0,5411,2,NA,36799.30078125,12,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"35483",0,0,1,17,1,9,1951,1805,27,40150,767,0,0,41975,3,0.5,0,0,0,0,0,0,0,0,16,13,153300,0,0,0,0,2,34,NA,87,0,1,1,0
"35489",0,0,0,16,2,10,1928,0,50,0,3807,0,1,116070,14,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"35493",1,0,1,8,2,7,1933,1265,45,45990,3365,1,1,102054,25,0.699999988079071,657,0,657,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,42,0,1,1,0
