"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"991",0,0,1,12,8,11,1924,NA,1960,57,27170,6240,0,1,87191,17,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"1036",0,1,0,13,7,10,1947,NA,2504,34,20501,3551,1,1,61799.3984375,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1050",0,NA,NA,12,NA,9,NA,NA,1960,35,24700,6373,1,NA,88920,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"1114",1,0,1,14,12,13,1953,4,1819,28,61750,4873,0,0,87890.0078125,4,0.300000011920929,0,0,0,0,0,0,0,0,14,14,59280,4940,0,0,0,4,4,0,1,1,0
"1141",1,0,1,16,8,11,1949,NA,1084,33,NA,4830,2,NA,55691.08984375,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,0,0
"1154",0,0,1,17,12,8,1953,10,1880,28,41990,1731,1,1,64220,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1161",1,0,1,13,9,10,1930,NA,2350,51,91822.25,1412,1,1,306280,27,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1180",0,0,1,17,9,12,1948,NA,2295,33,0,2112,0,1,259350,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,11,66690,3705,0,0,0,2,24,0,1,NA,1
"1187",0,0,1,17,5,9,1952,20,2352,29,56810,2453,0,1,134121,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1211",0,0,1,17,11,7,1943,NA,1562,38,39520,5362,2,1,105963,14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
