"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"4818",0,0,1,12,3,8,1933,1920,39,42106,1520,2,1,137823.1875,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"4842",1,0,1,8,NA,6,NA,2678,58,29758.69921875,3155,2,1,52040.73828125,0.800000011920929,0,5598.9599609375,0,0,0,1422.5,984,NA,NA,NA,NA,NA,NA,0,2,26,NA,69,0,1,1,0
"4857",1,0,1,14,10,11,1945,882,26,NA,3084,0,NA,71694,0.5,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,29019,0,NA,0,4,4,NA,NA,NA,NA,NA,0
"4858",1,0,1,12,9,8,1914,2000,58,42675,3103,0,1,42959.5,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,40,0,1,1,0
"4861",0,0,1,12,6,6,1918,2000,53,14225,3155,2,NA,52040.73828125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,NA,1
"4876",0,0,1,12,5,11,1943,2000,28,26743,1699,1,1,56331,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"4886",0,1,0,9,9,9,1913,630,59,5121,4633,0,NA,47796,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"4904",1,1,0,NA,NA,0,NA,0,26,0,5002,0,1,14225,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,87,0,1,1,0
"4907",0,0,1,11,5,12,1913,0,58,0,2523,0,1,64012.5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"4910",1,0,1,8,NA,9,NA,NA,60,NA,298,2,NA,114909.546875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,0,0
"4920",1,0,1,12,5,10,1921,3120,51,68621.3984375,1775,3,1,126318,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,11,0,1,1,0
"4961",0,0,1,17,7,12,1931,643,40,19994.66015625,3441,2,1,141424.953125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"4967",0,0,1,8,NA,7,NA,1440,48,13172.349609375,2720,2,0,17724.349609375,0.5,4552,4552,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,43,0,1,1,0
"4987",1,0,1,10,7,7,1917,1920,55,57469,927,1,1,102511.0390625,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,92,0,1,1,0
"5082",1,0,1,12,NA,12,NA,4576,43,31909.51953125,791,0,1,88991.6015625,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,11,0,1,1,0
"5085",0,0,1,13,12,12,1911,1720,60,17070,72,0,1,74083.796875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"5097",0,0,1,12,10,12,1937,0,34,0,996,2,1,61452,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
