"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"9715",0,0,1,10,1,9,1926,0,55,0,4240,0,1,73711.078125,3,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"9716",0,0,1,12,8,11,1947,946,33,16244,5568,2,1,109647,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,0,0,NA,1
"9725",0,1,0,12,11,6,1953,2040,28,27510,4614,1,1,52924,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"9737",1,0,1,12,4,10,1951,2000,29,24890,2574,5,1,44016,5,1.20000004768372,0,0,0,0,0,0,0,0,8,7,43209.0390625,0,0,0,0,3,45,0,1,1,0
"9752",1,0,1,16,5,7,1940,1952,40,52400,4275,0,1,73360,18,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"9794",1,0,1,16,4,11,1932,1966,48,44540,3655,0,1,102180,20,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"9804",1,0,1,12,9,9,1939,1832,41,32750,1423,2,1,42286.80078125,15,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"9809",0,0,1,17,1,13,1946,1930,35,47160,401,0,1,91700,12,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"9815",1,0,1,14,NA,9,NA,NA,50,NA,198,0,NA,48490.9609375,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,0,NA,0,0
"9828",1,0,1,12,8,6,1937,2528,43,83840,6134,2,1,116590,20,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"9844",0,0,1,12,10,10,1938,1445,42,18340,513,1,1,34060,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"9846",1,0,1,9,11,8,1932,1844,48,49780,2555,0,0,50128.4609375,24,0.300000011920929,0,193.880004882812,193.880004882812,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"9857",0,0,1,16,9,12,1954,2040,26,14713.919921875,1040,2,NA,68120,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,11,12,58426,9694,0,0,0,1,31,0,1,NA,1
