"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"19058",1,0,0,16,NA,10,NA,2422,41,96140,5133,7,1,102410,23,NA,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,87,0,1,1,0
"19073",1,0,1,17,8,12,1941,3680,34,132840.40625,2824,4,1,181830,16,1,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,55,0,1,1,0
"19104",0,0,1,12,5,8,1940,1280,36,41800,165,3,1,84854,10,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,NA,1
"19120",0,0,1,13,5,11,1921,0,54,0,807,0,1,79273.703125,5,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,0,NA,1
"19147",1,0,1,15,NA,13,NA,547,27,NA,5715,2,NA,44320.5390625,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,0,0
"19158",1,0,1,17,9,10,1932,2940,43,150480,2092,0,1,239514,23,1,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,88,0,1,1,0
"19184",1,0,1,12,9,9,1933,1520,43,26116.640625,794,8,1,46473.23828125,25,5,2.79999995231628,5266.7998046875,14571.48046875,0,1881,1776,0,0,NA,NA,NA,NA,NA,NA,0,1,29,31,0,1,1,0
"19190",0,0,1,12,9,11,1928,0,47,0,2503,0,1,97226.796875,4,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
"19207",0,0,1,13,2,10,1929,800,47,12540,4467,2,1,79420,12,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,NA,1
"19215",1,0,0,12,4,9,1935,1936,42,54340,5130,1,1,101323.203125,19,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,61,0,1,1,0
