"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"16681",0,0,1,16,5,12,1961,768,26,12060,1001,1,1,64320,6,2,0,0,0,0,0,NA,0,0,NA,17,90450,NA,NA,0,0,3,41,0,1,NA,1
"16711",0,0,1,12,5,11,1938,0,49,0,4304,1,1,114570,NA,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,35,0,0,NA,1
"16715",1,0,1,17,5,12,1947,2618,41,72106.7421875,6567,2,1,181905,19,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,0,1,0
"16751",1,0,1,17,8,13,1929,1560,58,38471.3984375,3012,0,1,46230,37,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"16758",1,0,1,14,9,12,1928,832,59,20100,6024,0,1,70350,39,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,0,1,0
"16807",1,0,1,17,9,13,1948,3500,39,116580,4062,1,1,170046,18,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"16809",0,0,1,12,2,12,1946,1456,42,19533.1796875,2228,0,NA,97790.5234375,21,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"16816",1,1,0,15,9,8,1961,1712,26,22110,3878,1,1,30150,7,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"16824",0,0,1,15,1,7,1960,0,28,0,521,1,NA,2.00999999046326,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,1
"16831",0,0,1,12,10,11,1932,900,55,14070,3462,0,1,206025,12,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
