"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"41465",1,1,0,14,9,9,1944,1880,35,41038,3910,3,1,75718,13,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,61,0,1,1,0
"41466",0,0,1,12,9,11,1938,1883,42,33235,6479,0,1,76585,13,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,NA,1
"41467",1,0,1,12,9,10,1936,1936,43,66470,6462,1,1,121275.9609375,22,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,6,NA,43,0,1,1,0
"41472",0,0,1,12,5,7,1925,NA,54,0,1535,2,NA,86122,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,NA,0
"41477",0,0,1,16,12,10,1948,2000,31,37570,939,1,1,78030,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,NA,1
"41494",0,1,0,12,12,12,1945,1890,34,28900,5581,3,1,66470,12,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,0,1,NA,1
"41514",0,0,1,16,10,12,1949,0,30,0,963,2,1,163227.203125,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,0,0,NA,1
"41544",1,1,0,12,11,12,1927,1960,52,40460,1588,1,1,68204,31,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,49,0,1,1,0
"41553",0,0,1,17,4,8,1954,1230,25,8670,864,1,1,47583.8515625,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,42483,0,NA,0,3,45,NA,0,1,NA,1
"41569",0,0,1,12,5,5,1950,1248,29,8670,3684,0,0,17340,7,0.5,0,0,0,0,0,0,5780,0,6,NA,NA,173.399993896484,0,NA,0,1,37,86,0,1,1,0
"41581",0,0,1,17,2,13,1951,1716,29,41616,1433,0,1,66296.6015625,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,16,16,38523.69921875,37991.94140625,0,0,0,1,31,NA,0,1,NA,1
"41597",0,0,1,16,9,7,1948,24,31,202.300003051758,510,2,1,62626.30078125,8,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,0,0,NA,1
"41652",1,0,1,11,2,12,1920,2133,60,64444.109375,4866,0,1,71059.3203125,38,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,85,0,1,1,0
"41659",0,0,1,12,8,10,1923,0,52,0,3940,0,NA,59534,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,0,NA,1
"41683",0,0,1,12,6,12,1930,880,50,15143.599609375,885,0,1,200970.59375,26,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,0,1,NA,1
"41693",0,0,1,14,12,10,1946,1500,33,18785,5475,2,NA,64967.19921875,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,NA,1
"41700",1,0,1,17,7,13,1944,2500,35,35402.5,886,0,0,63646.46875,13,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,88,0,1,1,0
"41752",1,1,0,12,5,9,1946,1740,33,34391,3339,0,0,39188.3984375,11,0.300000011920929,2080.80004882812,0,2080.80004882812,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,57,0,1,1,0
"41769",0,0,1,17,6,10,1951,18,28,158.949996948242,4644,2,1,52178.94921875,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,0,0,0,0,3,19,NA,0,0,NA,1
"41774",1,0,1,16,8,11,1953,2056,26,25114.099609375,754,0,1,57233.55859375,5,0.5,0,0,0,0,0,0,0,0,16,16,78030,14450,0,0,0,3,9,92,0,1,1,0
"41776",0,0,1,17,5,11,1952,1773,28,20802.220703125,3750,0,0,21377.330078125,4,0.5,0,0,0,0,0,0,0,0,12,NA,NA,40749,0,NA,0,1,37,61,0,1,1,0
"41777",0,0,1,12,11,8,1946,144,33,10693,2373,4,1,54534.30078125,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,NA,1
"41785",1,0,1,16,5,10,1945,2500,34,75862.5,3837,2,1,145367,10,0.699999988079071,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,42,88,0,1,1,0
"41791",0,0,1,17,12,9,1952,1940,27,53808.91015625,5669,0,1,112987.4375,5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,0,1,NA,1
"41809",1,0,1,13,NA,10,NA,NA,52,0,6027,1,NA,51716.55078125,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,35,NA,0,0,0,0
"41849",0,0,1,12,12,11,1947,120,32,578,348,2,1,67337,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,0,0,NA,1
"41850",1,0,1,16,9,8,1949,1470,30,34680,2422,1,1,46615.69921875,8,0.800000011920929,0,375.700012207031,375.700012207031,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,49,0,1,1,0
"41856",0,0,1,12,9,12,1935,980,44,11386.599609375,5518,2,0,25278.830078125,3,0.800000011920929,323.679992675781,3164.55004882812,3488.22998046875,0,0,0,6936,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,0,1,0
"41859",0,0,1,13,11,9,1945,1993,34,27559.0390625,1849,3,1,56785.609375,3,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,NA,1
