"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"10706",0,0,1,12,8,10,1952,37,1806,32,44655,1770,2,1,95039.578125,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"10731",0,0,1,9,2,12,1944,NA,380,40,4580,5230,2,NA,31556.19921875,10,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"10753",0,0,1,12,8,10,1943,NA,996,40,16030,4164,2,1,73280,14,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"10766",0,0,1,13,3,9,1957,36,32,27,132.820007324219,4938,1,1,29902.8203125,1,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,0,1,NA,1
"10775",0,0,1,12,10,10,1938,NA,1840,45,54960,390,0,1,185490,15,2,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"10826",1,0,1,14,1,10,1953,4,1555,31,48090,454,0,1,56105,8,3,0.300000011920929,2977,0,2977,0,0,0,0,0,12,8,0,17699.41015625,0,0,0,4,4,0,1,1,0
"10838",0,0,1,17,8,8,1957,31,1524,26,38930,583,2,1,85508.6015625,6,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,15,16,64120,0,0,0,0,1,31,0,1,NA,1
"10841",0,0,1,12,12,10,1947,NA,0,36,0,6115,4,1,61223.1484375,8,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,0,NA,1
"10884",0,0,1,15,1,9,1954,32,1672,29,16030,3548,1,1,43510,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,10,10,8979.08984375,10053.099609375,0,0,0,3,32,0,1,NA,1
"10890",1,1,0,12,8,10,1946,NA,2309,37,32747,378,0,0,32747,11,3,0.5,0,0,0,0,0,0,0,0,7,NA,NA,9160,0,NA,0,3,39,0,1,1,0
"10908",0,0,1,16,9,13,1950,NA,166,33,595.400024414062,6547,3,1,24296.900390625,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,14,17,137400,18320,0,0,0,6,NA,0,1,NA,1
"10918",1,0,1,14,8,9,1952,46,1880,31,66410,5458,2,1,66410,5,2,0.699999988079071,0,0,0,0,0,0,0,0,12,12,73280,0,0,0,0,4,46,0,1,1,0
"10940",0,0,1,13,9,10,1954,48,557,27,5168.52978515625,4099,2,1,60710.19140625,3,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"10998",0,0,1,14,4,11,1957,42,1993,27,38930,5531,0,1,95722,1,1,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,11,119080,27480,0,0,0,3,42,0,1,NA,1
"11011",1,0,1,13,11,8,1957,4,1984,26,44655,3153,2,1,58951.46875,3,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"11037",1,0,1,13,12,11,1942,NA,2605,41,54960,3243,1,1,81840.0234375,15,3,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"11054",0,0,1,16,6,9,1946,NA,2012,37,41449,5259,3,0,51754,8,2,0.5,0,0,0,0,0,0,8244,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"11061",0,0,1,15,3,7,1947,NA,2194,37,40304,1061,2,1,109553.6015625,11,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,12,91600,0,0,0,0,1,20,0,1,NA,1
"11099",0,0,1,13,11,10,1953,34,0,30,0,3368,5,1,45800,2,3,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"11106",0,0,1,12,2,8,1957,5,1560,27,1832,2382,2,1,29312,1,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,0,0,NA,1
"11114",1,0,1,12,1,8,1957,14,1560,27,NA,157,0,NA,52147.87890625,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,16,12,7295.93994140625,20152,0,0,0,2,14,0,NA,NA,0
