"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","weight","bmi","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"60150",1,0,1,11,2,10,1960,1960,26,0,2360,0,NA,61845,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"60155",1,1,0,16,7,7,1960,2130,25,43282.8203125,4887,0,1,56736.8203125,3,2,70,210,30.1285705566406,0,0,0,0,0,0,0,0,12,6,0,15190,0,0,0,3,32,0,1,1,0
"60191",1,0,1,17,5,12,1960,2124,25,56420,4684,0,0,57505,6,1,65,130,21.6307697296143,0,0,0,0,0,0,0,0,12,16,104160,5642,0,0,0,2,26,0,1,1,0
"60196",1,0,1,17,1,11,1952,2009,34,71158.640625,5983,2,1,72894.640625,15,2,70,155,22.2377548217773,0,0,0,0,0,0,0,0,12,12,82460,18922.400390625,0,0,0,4,5,0,1,1,0
"60219",0,1,0,11,11,11,1926,NA,60,0,1802,0,NA,67495.6796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,0
"60224",0,0,1,15,12,11,1946,896,39,10850,2475,4,NA,54987.80078125,20,4,65,150,24.9585800170898,0,6293,6770.39990234375,0,477.399993896484,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"60225",0,0,1,17,8,10,1949,1225,36,56420,4278,0,1,118916,13,2,67,130,20.3586540222168,0,0,0,0,0,NA,0,0,13,12,0,0,0,0,0,3,42,0,1,NA,1
"60245",0,0,1,12,3,10,1950,1920,35,39060,4458,3,NA,76548.921875,20,4,62,100,18.2882423400879,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"60265",0,0,1,14,4,10,1930,0,55,0,5377,0,1,47392.80078125,NA,1,65,125,20.7988166809082,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"60288",0,0,1,14,10,11,1929,0,56,0,4475,0,NA,38061.80078125,20,NA,NA,NA,NA,0,0,20701.80078125,20701.80078125,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,0,NA,1
"60302",1,1,0,9,2,4,1948,4284,38,28210,6170,0,1,40362,19,4,68,175,26.6057529449463,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,1,1,0
"60325",1,0,1,13,3,9,1947,2300,39,69440,5194,2,1,87848.109375,20,2,68,190,28.8862457275391,0,0,0,0,0,0,0,0,12,NA,NA,13020,0,NA,0,4,4,0,1,1,0
"60341",1,0,1,12,3,10,1943,2928,43,86800,3968,3,1,125651.6796875,19,2,71,172,23.9865112304688,0,434,434,0,0,0,17151.6796875,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"60354",0,0,1,13,8,8,1948,0,37,0,128,2,1,27467.859375,16,2,65,158,26.2897033691406,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"60370",0,0,1,12,11,10,1945,1880,40,13020,2413,2,1,113404.203125,16,2,66,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"60380",0,0,1,12,11,8,1946,2000,39,24232.390625,3434,0,0,33997.390625,20,4,62,118,21.5801258087158,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"60390",0,0,1,16,9,9,1957,1840,28,32550,2477,0,1,130200,7,3,61,105,19.8374099731445,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"60395",0,0,1,16,4,11,1953,104,33,3255,4998,2,1,94395,7,2,68,120,18.2439441680908,0,0,0,0,0,NA,0,0,17,17,0,26040,0,0,0,3,3,0,1,NA,1
"60406",0,0,1,10,12,13,1938,1040,47,4600.39990234375,4804,2,NA,86149,6,2,64,135,23.170166015625,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"60411",0,1,0,16,2,1,1958,588,28,10850,2233,0,1,39060,9,3,67,160,25.0568046569824,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"60413",0,0,1,12,12,12,1950,1730,35,35371,4597,2,1,96456.5,7,3,62,105,19.2026538848877,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"60424",1,0,1,12,1,9,1958,1610,28,31465,4734,0,1,35805,10,3,74,195,25.0337829589844,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,0,1,1,0
"60426",0,0,1,15,9,13,1958,1936,27,43400,883,0,1,86669.796875,6,2,63,135,23.911563873291,0,0,0,0,0,NA,0,0,12,12,0,0,0,0,0,1,29,0,1,NA,1
"60455",0,0,1,12,9,9,1945,0,40,0,1907,2,NA,192045,NA,1,67,130,20.3586540222168,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,0,NA,1
"60466",1,0,1,12,11,12,1950,2580,35,75950,4466,2,1,77252,16,1,71,180,25.1021614074707,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"60467",0,0,1,12,6,10,1927,520,58,4791.35986328125,344,0,1,16915.150390625,23,4,60,147,28.7058334350586,0,2248.1201171875,2248.1201171875,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"60482",1,0,1,16,1,12,1957,1380,29,6536.0400390625,6128,0,1,29104.0390625,4,NA,68,140,21.2846012115479,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,6,NA,0,1,1,0
"60490",1,0,1,15,7,9,1947,2268,38,86800,2145,0,1,104160,NA,1,70,175,25.1071434020996,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"60491",1,0,1,12,7,8,1943,2375,42,47740,1382,0,1,55335,23,3,71,190,26.4967269897461,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"60494",1,0,1,16,6,13,1940,2268,45,108500,2515,0,0,130200,26,1,72,172,23.3248462677002,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"60498",1,0,0,11,7,12,1938,NA,47,NA,583,0,0,9035.8798828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,1,3,17,NA,NA,NA,0
"60529",0,0,1,16,11,13,1941,1428,44,21700,2715,0,0,67270,14,3,67,140,21.9247055053711,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"60530",1,0,1,16,5,12,1938,1712,47,130200,6025,1,1,124965.9609375,28,1,71,175,24.4048805236816,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"60542",0,0,1,12,2,10,1939,1850,47,19530,6106,1,1,160580,10,3,62,110,20.1170654296875,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"60564",0,0,1,11,4,11,1959,1200,26,12369,682,0,1,69657,7,1,65,110,18.3029594421387,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"60569",0,0,1,16,1,NA,1947,0,39,0,2922,2,NA,868000,NA,2,62,120,21.9458904266357,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,0,NA,1
"60578",0,0,1,13,6,11,1937,1980,48,26040,263,1,0,46611.6015625,12,3,60,150,29.2916660308838,0,0,0,0,0,0,4340,0,NA,NA,NA,NA,NA,NA,0,1,6,0,1,1,0
"60579",0,1,0,12,6,8,1951,1606,34,14105,2646,2,1,66438.890625,10,3,64,180,30.8935546875,0,0,0,0,0,NA,0,0,3,9,34720,0,0,0,0,3,32,0,1,NA,1
"60599",0,0,1,12,1,11,1947,2295,39,26170.19921875,1148,1,1,67070.359375,8,2,65,140,23.2946739196777,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"60601",1,0,1,12,3,9,1933,2205,52,52080,2262,0,1,60412.80078125,35,3,72,220,29.8341045379639,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"60625",1,0,1,14,11,10,1953,3943,32,115010,3237,3,1,115010,16,3,68,160,24.3252601623535,0,0,0,0,0,0,0,0,12,12,103387.4765625,11121.25,0,0,0,2,12,0,1,1,0
"60641",0,0,1,12,11,12,1945,45,40,1720.81005859375,497,1,1,111956.8125,NA,2,61,158,29.8505783081055,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,0,NA,1
"60675",0,0,1,12,11,13,1939,0,45,0,1710,1,1,136710,NA,3,66,145,23.4010562896729,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,0,NA,1
"60687",0,0,1,12,10,8,1955,1776,30,28210,1570,3,1,80365.953125,9,3,63,140,24.7971782684326,0,0,0,0,0,NA,0,0,9,11,0,11501,0,0,0,1,37,0,1,NA,1
"60700",0,0,1,12,10,9,1933,1872,52,75950,5307,0,0,76818,30,2,66,136,21.9485759735107,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,0,1,1,0
"60701",0,NA,NA,12,5,12,1954,484,31,NA,417,0,NA,24304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,0
"60703",0,0,1,13,2,10,1949,2080,35,34720,6088,3,1,136710,18,3,66,130,20.9802570343018,0,0,0,0,0,NA,0,0,12,8,16817.5,1302,0,0,0,2,12,0,1,NA,1
