"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"57785",0,0,1,12,8,9,1953,9,1560,40,16500,1271,1,NA,42240,21,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"57805",0,0,1,14,11,8,1962,21,2300,30,NA,1461,0,NA,79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,0,0,0,0,0,2,21,0,1,NA,0
"57813",1,0,1,17,10,10,1956,31,3000,36,132000,6367,2,1,177375,10,1,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,1,6,0,1,1,0
"57839",0,0,1,11,8,9,1966,35,0,26,0,309,2,1,29700,1,4,0,0,0,0,0,NA,0,0,13,NA,NA,36300,0,NA,0,3,35,0,0,NA,1
"57842",1,0,1,12,6,12,1944,NA,2629,49,57750,7275,1,1,148711.203125,31,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"57852",1,0,1,12,11,7,1958,13,1910,34,51150,10423,0,0,51150,NA,3,0,0,0,0,0,0,0,0,11,11,0,19800,0,0,0,2,13,0,1,1,0
"57859",1,0,1,16,9,10,1942,NA,2359,50,85800,4812,0,1,114318.6015625,24,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,1,0
"57881",1,0,1,14,10,10,1959,9,16,33,1980,188,0,1,41910,6,2,0,1980,1980,0,0,0,0,0,12,12,66,0,0,0,0,3,9,0,1,1,0
"57884",0,1,0,12,7,11,1941,NA,0,51,0,3275,0,1,5907,NA,4,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,0,NA,1
"57888",1,1,0,6,12,5,1935,NA,NA,58,NA,2188,3,NA,31782.30078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,0
"57893",0,0,1,14,10,13,1933,NA,0,59,0,4561,0,1,34650,12,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"57925",1,0,1,15,12,9,1952,40,2040,40,37950,3152,2,1,56991,14,3,0,0,0,0,0,0,0,0,12,NA,NA,31350,0,NA,0,2,40,0,1,1,0
"57937",1,0,1,16,11,12,1951,12,1944,41,92400,1576,2,1,98010,15,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
