"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"58723",1,0,1,NA,10,11,1966,2550,28,59281.55859375,10183,0,1,105020.7578125,NA,1,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"58778",0,0,1,16,5,10,1969,1890,25,37440,3834,0,0,141460.796875,2,2,13,14,82680,41809.55859375,0,0,0,4,4,0,1,1,0
"58782",0,1,0,16,10,9,1957,347,37,15598.4404296875,4232,0,0,33072,4,4,16,NA,NA,43353.9609375,0,NA,0,6,NA,0,1,1,0
"58784",1,0,1,12,11,10,1966,2774,28,18408,2211,0,0,18459.48046875,10,2,12,12,0,46800,0,0,0,2,14,0,1,1,0
"58789",1,0,1,14,6,10,1953,2322,41,57096,2818,0,1,113412,13,2,NA,NA,NA,NA,NA,NA,0,2,22,0,1,1,0
"58804",1,0,1,17,11,11,1947,2099,47,113883.1171875,4874,1,1,139935.125,19,1,NA,NA,NA,NA,NA,NA,0,1,28,0,1,1,0
"58834",0,0,1,16,11,7,1948,520,46,8268,3460,2,NA,112680.359375,6,3,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"58836",0,0,1,14,6,13,1952,1960,42,43680,2063,1,1,104521.5625,14,2,12,8,NA,0,0,0,0,3,16,0,1,NA,1
"58845",0,0,1,17,1,12,1946,1147,49,37440,640,1,1,193132.6875,9,1,16,13,0,0,0,0,0,2,34,0,1,NA,1
"58862",0,0,1,12,8,11,1969,1260,25,11976.1201171875,3505,2,1,60337.6796875,1,1,14,12,6238.43994140625,32760,0,0,0,3,42,0,0,NA,1
"58868",0,1,0,16,12,7,1967,2056,27,39861.12109375,1370,2,1,86349.1171875,5,3,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"58872",1,0,1,17,3,11,1948,2061,46,127924.6796875,767,2,1,206238.234375,16,1,11,16,0,0,0,0,0,2,21,0,1,1,0
"58882",0,1,0,12,7,9,1952,4048,42,6238.43994140625,8914,1,0,86508.2421875,10,3,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"58924",1,0,1,8,4,10,1939,1904,56,35880,3864,0,1,73764.6015625,28,4,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"58960",1,0,1,12,4,8,1951,1984,44,39000,6365,0,0,39000,24,2,7,NA,NA,0,0,NA,0,1,31,0,1,1,0
"58969",1,0,1,14,11,11,1957,1960,37,62401.55859375,1155,1,1,301900.5625,12,2,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"58980",1,0,1,12,10,10,1967,1988,27,54601.55859375,923,2,1,93913.5625,1,3,16,17,133381.5625,14615.6396484375,0,0,0,2,22,0,1,1,0
"58997",0,1,0,10,5,3,1960,0,34,0,2850,3,0,10784.2802734375,NA,4,NA,NA,NA,NA,NA,NA,0,3,42,0,0,1,0
"59007",1,0,1,13,8,11,1968,0,26,0,239,0,NA,118561.5625,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"59009",0,NA,NA,14,7,10,1959,NA,35,NA,3225,0,NA,29640,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,0
"59014",0,0,1,16,1,13,1947,1296,48,42120,229,1,1,130300.5625,10,2,12,NA,NA,0,0,NA,0,2,21,0,1,NA,1
"59020",0,0,1,12,3,9,1946,2045,49,34944,2099,0,0,34944,20,1,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"59022",1,0,1,12,1,8,1952,1944,43,29796,4304,2,1,35724,20,2,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"59042",1,0,1,13,1,7,1948,2223,47,53041.55859375,3012,1,0,58033.55859375,19,1,9,NA,NA,0,0,NA,0,4,36,0,1,1,0
"59043",0,0,1,16,12,12,1962,130,32,2808,3797,3,1,48832.6796875,6,1,NA,NA,NA,NA,NA,NA,0,2,12,0,0,NA,1
"59065",1,0,1,17,9,11,1957,2550,37,73321.5625,38,1,1,153975.125,9,1,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"59084",0,0,1,17,12,12,1965,1710,29,46800,2870,1,1,96721.5625,8,1,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"59098",0,0,1,12,11,13,1951,1936,43,31825.560546875,827,0,0,32967.48046875,15,2,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"59125",0,0,1,12,9,7,1961,928,33,9984,3561,2,1,68906.7578125,4,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"59144",0,0,1,12,2,13,1956,NA,39,NA,9874,0,1,65771.15625,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,0
"59156",1,0,0,4,2,7,1942,NA,53,0,49,2,NA,38844,NA,NA,4,NA,NA,0,0,NA,0,3,32,0,0,NA,0
"59162",1,0,1,16,7,12,1955,2760,39,132904.203125,3978,2,1,133684.203125,20,1,NA,NA,NA,NA,NA,NA,0,2,48,0,1,1,0
"59169",1,0,1,11,7,NA,1941,2100,53,36661.55859375,7120,0,0,36661.55859375,34,3,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"59186",0,0,1,12,4,9,1951,996,43,27300,214,0,1,74240.3984375,5,1,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"59192",1,0,1,12,8,10,1940,1880,54,28080,1304,0,1,118560,23,1,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"59201",1,0,1,14,10,8,1969,2904,25,0,1422,0,1,96253.5625,5,2,12,9,0,0,0,0,0,2,14,0,1,1,0
"59219",0,0,1,12,10,9,1956,950,38,7798.43994140625,2696,3,1,140403.125,6,3,13,8,11700,0,0,0,0,2,48,0,1,NA,1
"59224",1,0,1,17,9,10,1952,NA,42,NA,3538,0,NA,102958.4375,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,0
"59251",1,0,1,16,10,10,1952,1710,42,49374,4151,3,1,103273.5625,14,1,12,12,0,13258.4404296875,0,0,0,4,5,0,1,1,0
"59290",0,0,1,12,3,12,1963,0,31,0,667,2,1,83631.6015625,9,2,10,12,0,0,0,0,0,3,NA,0,0,NA,1
