"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"37923",0,NA,NA,12,NA,11,NA,1280,31,6630,392,3,NA,55250,3,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"37934",1,0,1,12,4,9,1922,1856,52,53168.1796875,2599,0,1,78782.078125,33,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,56,0,1,1,0
"37935",1,0,1,7,5,9,1934,1960,40,17591.599609375,3321,3,1,26520,22,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,62,0,1,1,0
"37949",0,0,1,10,1,7,1915,640,60,5304,1525,0,1,8619,9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"37952",1,0,1,12,NA,7,NA,1225,46,25636,4763,1,1,81770,18,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,51,0,1,1,0
"37953",0,0,1,17,10,11,1949,80,25,1326,4826,1,1,29172,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,34772.140625,0,NA,0,2,26,NA,NA,NA,NA,NA,1
"37957",1,0,1,12,4,11,1948,2340,26,37570,408,0,0,37570,6,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,51,0,1,1,0
"37977",1,0,1,14,12,10,1947,2084,27,53040,1833,2,1,69173,9,0.800000011920929,0,0,0,0,0,0,0,12,NA,NA,0,0,0,0,2,22,NA,56,0,1,1,0
"37993",1,0,1,13,8,11,1924,3553,50,83980,455,0,1,104754,32,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,4,88,0,1,1,0
"38012",1,0,1,12,11,11,1932,2480,42,75140,363,2,1,71162,24,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,51,0,1,1,0
"38079",0,0,1,12,11,12,1931,1862,43,35360,4242,1,0,52067.6015625,16,0.400000005960464,0,0,0,0,0,11050,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,71,0,1,1,0
"38087",0,0,1,12,4,10,1921,2000,53,27404,656,2,0,76908,12,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,31,0,1,1,0
"38115",0,1,0,16,NA,11,NA,1188,26,31382,537,2,NA,91162.5,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"38116",1,0,1,14,7,7,1941,2856,33,33592,1153,2,1,115804,15,0.699999988079071,0,3580.19995117188,0,0,0,1105,810,NA,NA,NA,NA,NA,NA,0,4,4,NA,57,0,1,1,0
"38142",0,0,1,12,2,11,1927,0,48,0,4719,0,1,183942.71875,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"38145",0,NA,NA,10,NA,9,NA,0,31,0,2954,3,NA,25194,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"38172",1,0,1,16,9,10,1943,2350,31,88400,3414,1,1,124644,10,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"38188",0,0,1,16,10,11,1931,1050,44,21658,2918,2,1,110407.1796875,12,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"38206",1,0,1,12,4,8,1945,2140,29,38896,593,2,1,38896,11,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,61,0,1,1,0
"38229",0,0,1,8,7,6,1931,1830,43,8641.099609375,3846,0,0,14254.5,NA,0.200000002980232,0,8451.0400390625,0,0,642,0,1270,NA,NA,NA,NA,NA,NA,0,3,16,2,71,0,1,1,0
"38230",1,0,1,12,6,13,1914,1600,60,79560,3777,0,1,109527.6015625,43,0.300000011920929,3447.60009765625,3447.60009765625,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,51,0,1,1,0
"38240",0,0,1,12,7,11,1942,320,32,6630,4373,3,1,44734.8203125,9,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"38252",1,0,1,12,8,9,1944,3000,30,85748,4396,2,1,87560.203125,10,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,55,0,1,1,0
"38296",0,0,1,10,9,11,1935,1760,40,38896,2466,2,0,54542.80078125,6,0.699999988079071,618.799987792969,618.799987792969,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,32,0,1,1,0
"38312",1,0,1,9,4,9,1938,990,37,35360,5200,4,1,49008.9609375,19,0.899999976158142,13118.5595703125,14046.759765625,0,0,210,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,32,0,1,1,0
"38315",1,0,1,14,12,12,1927,2303,48,128180,3466,3,1,168954.5,26,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,62,0,1,1,0
"38345",1,0,1,12,7,8,1948,1597,26,27404,5308,2,1,35802,8,1,0,5304,5304,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,51,0,1,1,0
"38380",0,0,1,14,6,11,1934,2000,40,48620,1298,3,1,192712,22,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"38383",0,0,1,12,10,6,1928,60,46,552.5,2462,0,1,54184.78125,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"38385",1,0,1,7,10,12,1935,880,39,23868,4260,3,1,68854.7578125,21,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,31,0,1,1,0
"38392",0,0,1,12,7,12,1925,0,48,0,4347,0,1,79692.6015625,5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"38417",0,0,1,12,12,11,1928,1763,46,25194,5030,0,NA,94976.9609375,28,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"38458",1,0,1,12,5,7,1948,2080,26,26520,4654,1,1,26520,8,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,1,NA,91,0,1,1,0
