"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"4490",0,1,0,8,5,7,1924,NA,1596,44,7843.919921875,3569,8,0,7843.919921875,2.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,83,0,1,1,0
"4496",1,1,0,16,NA,8,NA,NA,500,59,5880,2475,0,1,54684,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,4,51,0,1,1,0
"4529",0,0,1,14,12,12,1941,NA,1960,29,29400,3567,0,1,210504,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"4530",1,0,1,NA,NA,NA,NA,NA,NA,52,NA,338,0,NA,38455.19921875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,0
"4551",0,0,1,12,5,12,1927,NA,2040,41,41160,4116,1,0,41160,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"4595",1,0,1,8,NA,10,NA,NA,2496,42,39543,457,2,0,64615.3203125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,11,0,1,1,0
"4597",1,0,1,13,12,13,1926,NA,2750,44,54390,3111,4,1,141120,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,71,0,1,1,0
"4611",0,0,1,12,NA,9,NA,NA,1960,27,21168,3670,2,NA,67032,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"4632",1,1,0,17,10,13,1926,NA,2295,44,94080,3398,2,1,118482,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,82,0,1,1,0
"4658",0,0,1,15,9,10,1940,NA,0,30,0,3309,2,1,79432.921875,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
