"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","edu","hhchildren","married","fam_inc","works","age","state","f_edu","m_edu","f_inc_labor","m_inc_labor","region","state","study","head","wife"
1959,4,5437001,0,1,5437008,0,10,12,NA,NA,NA,9,NA,96307.203125,NA,9,12,14,12,80028,0,2,12,NA,0,0
1964,5,5437001,0,1,5437011,0,10,12,NA,NA,NA,9,NA,96307.203125,NA,3,12,14,12,80028,0,2,12,NA,0,0
1948,10,5437001,0,1,5437003,0,11,12,NA,780,13,9,1,96307.203125,NA,19,12,14,12,80028,0,2,12,NA,0,0
1962,7,5437001,0,1,5437010,0,10,12,NA,NA,NA,9,NA,96307.203125,NA,5,12,14,12,80028,0,2,12,NA,0,0
1952,12,5437001,0,1,5437005,1,10,12,NA,NA,NA,9,NA,96307.203125,NA,15,12,14,12,80028,0,2,12,NA,0,0
1954,8,5437001,0,1,5437006,1,10,12,NA,NA,NA,9,NA,96307.203125,NA,13,12,14,12,80028,0,2,12,NA,0,0
1968,5,5474001,0,0,5474007,1,0,42,NA,NA,NA,5,0,48564,NA,1,42,10,2,48564,0,3,42,NA,0,0
1964,11,5474001,0,1,5474005,1,0,42,NA,NA,NA,5,0,48564,NA,3,42,10,2,48564,0,3,42,NA,0,0
1962,4,5474001,0,0,5474003,0,0,42,NA,NA,NA,5,NA,48564,NA,6,42,10,2,48564,0,3,42,NA,0,0
1963,7,5474001,0,1,5474004,1,0,42,NA,NA,NA,5,NA,48564,NA,4,42,10,2,48564,0,3,42,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,7,5474001,0,0,5474006,1,0,42,NA,NA,NA,5,NA,48564,NA,2,42,10,2,48564,0,3,42,NA,0,0
1967,3,NA,1,0,5501012,1,9,24,NA,NA,NA,9,NA,21176.640625,NA,1,24,NA,8,NA,0,2,24,NA,0,0
1966,1,NA,1,0,5501011,0,9,24,NA,NA,NA,9,0,21176.640625,NA,2,24,NA,8,NA,0,2,24,NA,0,0
1951,1,NA,1,0,5501002,0,10,24,NA,NA,8,9,NA,21176.640625,NA,17,24,NA,8,NA,0,2,24,NA,0,0
1964,3,NA,1,0,5501010,0,9,24,NA,NA,NA,9,0,21176.640625,NA,4,24,NA,8,NA,0,2,24,NA,0,0
1963,3,NA,1,0,5501009,1,9,24,NA,NA,NA,9,NA,21176.640625,NA,5,24,NA,8,NA,0,2,24,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,7,NA,1,0,5501006,0,9,24,NA,NA,NA,9,0,21176.640625,NA,9,24,NA,8,NA,0,2,24,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,7,NA,1,0,5501007,1,9,24,NA,NA,NA,9,0,21176.640625,NA,8,24,NA,8,NA,0,2,24,NA,0,0
1961,5,NA,1,0,5501008,1,9,24,NA,NA,NA,9,0,21176.640625,NA,7,24,NA,8,NA,0,2,24,NA,0,0
1952,12,NA,1,0,5501004,1,9,24,NA,NA,NA,9,NA,21176.640625,NA,15,24,NA,8,NA,0,2,24,NA,0,0
1960,8,5526001,1,0,5526013,0,7,42,NA,NA,NA,9,NA,25992,NA,7,42,3,8,24624,0,3,42,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,9,5526001,1,0,5526014,0,7,42,NA,NA,NA,9,0,25992,NA,6,42,3,8,24624,0,3,42,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,11,5526001,1,0,5526016,0,7,42,NA,NA,NA,9,NA,25992,NA,4,42,3,8,24624,0,3,42,NA,0,0
1948,1,5526001,1,0,5526003,0,7,42,NA,NA,12,9,NA,25992,NA,20,42,3,8,24624,0,3,42,NA,0,0
1958,8,5526001,1,0,5526011,0,7,42,NA,NA,NA,9,NA,25992,NA,9,42,3,8,24624,0,3,42,NA,0,0
1955,11,5526001,1,0,5526009,1,7,42,NA,NA,NA,9,NA,25992,NA,12,42,3,8,24624,0,3,42,NA,0,0
1951,11,5526001,1,0,5526005,0,7,42,NA,NA,7,9,NA,25992,NA,16,42,3,8,24624,0,3,42,NA,0,0
1952,9,5526001,1,0,5526006,0,8,42,NA,NA,NA,9,NA,25992,NA,15,42,3,8,24624,0,3,42,NA,0,0
1950,11,5526001,1,0,5526004,0,7,42,NA,NA,NA,9,NA,25992,NA,17,42,3,8,24624,0,3,42,NA,0,0
1956,10,5526001,1,0,5526010,0,7,42,NA,NA,NA,9,NA,25992,NA,11,42,3,8,24624,0,3,42,NA,0,0
1953,8,5526001,1,0,5526007,1,10,42,NA,NA,NA,9,NA,25992,NA,14,42,3,8,24624,0,3,42,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,8,5543001,0,1,6328003,0,11,17,NA,120,12,2,NA,5506.2001953125,NA,21,17,8,11,39672,0,3,17,NA,0,0
1966,11,NA,1,0,5569012,1,6,32,NA,NA,NA,9,NA,22982.400390625,NA,2,32,NA,8,NA,0,3,32,NA,0,0
1963,12,NA,1,0,5569013,1,6,32,NA,NA,NA,9,0,22982.400390625,NA,3,32,NA,8,NA,0,3,32,NA,0,0
1961,11,5569001,1,0,5569009,1,6,32,NA,NA,NA,9,NA,22982.400390625,NA,6,32,6,8,20520,0,3,32,NA,0,0
