"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","study","works","head","wife"
"68834",0,0,1,8,7,10,1931,100,37,306.5,121,1,1,43216.5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,1
"68866",0,0,1,12,11,11,1932,0,37,0,3219,4,1,62955.1015625,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"68878",0,0,1,9,6,9,1910,1715,55,20535.5,1577,0,1,85207,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"68925",0,0,1,13,11,9,1944,2880,25,NA,3503,0,1,96731.3984375,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39170.69921875,0,NA,0,1,29,NA,NA,NA,NA,0
"68949",0,NA,NA,17,NA,12,NA,1680,44,57622,591,0,NA,86126.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,1
"68986",0,0,1,13,12,7,1942,2000,27,33102,2499,2,0,40458,0.699999988079071,0,0,0,0,0,9195,0,NA,NA,NA,NA,NA,NA,0,3,35,NA,0,1,1,0
"69000",1,0,1,13,5,7,1923,2320,47,67430,2425,0,1,104210,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"69042",0,NA,NA,12,NA,10,NA,560,60,18390,1288,0,NA,38986.80078125,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"69063",1,0,0,10,NA,8,NA,1872,35,37613.6796875,2445,3,1,63752,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,31,NA,0,1,1,0
"69114",0,0,0,12,9,5,1933,1950,36,41377.5,4052,1,NA,109727,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4,4,NA,NA,NA,NA,1
"69128",1,0,1,12,12,11,1920,3162,49,61913,1505,2,1,62158.19921875,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,18,NA,0,1,1,0
"69136",1,0,1,16,9,11,1932,1960,37,35983.1015625,4268,2,1,41500.1015625,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,1,0
"69163",1,0,1,12,11,11,1943,2825,26,60993.5,2075,3,1,60993.5,1,0,0,0,0,0,0,0,12,NA,44381.19921875,0,0,0,0,2,21,NA,0,1,1,0
"69214",0,0,1,11,6,9,1927,2080,42,NA,1334,0,NA,112485.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36780,0,0,0,0,3,9,NA,NA,NA,NA,0
"69237",1,0,1,9,6,11,1910,2000,59,21847.3203125,1834,0,1,39728.53125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,3,0,1,1,0
"69278",1,0,1,12,5,10,1941,1320,30,9562.7998046875,4172,6,1,27585,1.29999995231628,0,28737.439453125,0,14712,2288,0,0,NA,NA,NA,NA,NA,NA,0,1,37,4,0,1,1,0
"69288",0,0,1,17,7,10,1940,1208,30,55170,1254,0,0,55170,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,1,0
"69361",1,0,1,12,11,8,1928,2040,42,24520,2601,1,1,49040,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,1,0
"69410",1,0,1,16,7,11,1934,2074,36,63139,1737,3,1,85047.6171875,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,0,1,1,0
"69411",0,0,1,7,1,7,1932,2448,38,23294,3372,4,1,88339.4296875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"69428",1,0,1,10,NA,7,NA,2460,45,64365,3029,6,1,107888,2,1226,1226,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,1,0
"69479",0,NA,NA,8,NA,NA,NA,1760,51,14099,2542,0,NA,62832.5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"69485",0,0,1,12,12,10,1930,490,39,4291,3191,5,1,135374.921875,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"69533",0,0,0,16,10,12,1924,0,45,0,997,4,1,561875.8125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"69569",1,0,1,12,NA,10,NA,1868,45,64365,4160,2,1,67430,0.699999988079071,0,2353.919921875,0,0,384,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
