"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"44887",1,0,1,8,12,8,1913,NA,2037,60,65142.2109375,1582,0,1,68827.5,42,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,51,0,1,1,0
"44907",1,1,0,12,4,8,1945,NA,1760,28,16905,4895,2,1,36225,10,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,30,0,1,1,0
"44924",0,0,1,12,9,13,1940,NA,0,33,0,2886,1,1,77280,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"44925",1,0,1,8,8,10,1918,NA,2304,55,45402,1159,0,1,88872,37,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,NA,57,0,1,1,0
"44941",1,0,1,17,4,11,1917,NA,2530,57,111090,2034,1,1,163737,39,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,87,0,1,1,0
"44965",0,NA,NA,11,NA,12,NA,NA,360,26,994.97998046875,4146,2,NA,43344.421875,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"44974",1,0,1,8,3,12,1924,NA,2088,50,63973.3515625,340,0,1,84259.3515625,32,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,1,40,0,1,1,0
"44979",1,0,1,12,8,7,1920,NA,3060,53,118132.140625,3879,1,1,221484.484375,35,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,11,0,1,1,0
"44989",0,0,1,12,4,11,1930,NA,1140,44,11592,4909,1,1,81627,26,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"45008",0,0,1,10,6,11,1922,NA,1960,51,35259,1204,0,0,75348,30,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,43,0,1,1,0
"45032",0,0,1,12,9,7,1914,NA,0,59,0,3006,0,1,10674.2998046875,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"45047",1,0,1,17,5,11,1940,NA,2331,33,28980,2702,0,0,30187.5,12,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,61,0,1,1,0
"45060",0,1,0,12,3,6,1948,NA,1920,25,1449,392,3,1,49806.9609375,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"45074",1,0,1,12,4,9,1943,NA,3120,30,59409,2540,3,1,59409,13,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,0,0,1,0
"45076",0,0,1,12,1,8,1942,NA,1750,31,19320,2290,3,NA,135240,10,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"45092",0,0,1,14,1,10,1947,NA,1880,27,21667.380859375,944,1,0,27463.380859375,7,0.5,0,5796,0,0,0,0,1200,12,12,74140.5,0,0,0,0,2,21,NA,42,0,1,1,0
"45108",0,0,1,13,10,10,1927,NA,0,47,0,1820,0,1,129685.5,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"45109",0,0,1,14,4,9,1945,NA,0,28,0,2137,2,1,115920,3,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"45122",0,0,1,7,12,8,1916,NA,0,58,0,143,0,1,127270.5,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"45140",1,0,1,12,1,10,1933,NA,2066,41,27048,1231,3,1,27772.5,23,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,92,0,1,1,0
