"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"21228",0,0,1,13,3,9,1949,2000,48,45880,2722,1,NA,135554.6875,31,2,66,12,NA,NA,0,0,NA,0,3,10,0,1,NA,1
"21233",1,0,1,13,8,11,1957,2600,39,35520,2294,2,1,43660,9,2,72,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"21237",1,0,1,13,4,10,1970,3500,26,0,2038,2,1,34454.3984375,3,1,70,12,12,35076,0,0,0,0,2,14,0,1,1,0
"21261",0,0,1,11,3,8,1966,1820,31,10360,5466,0,NA,72668,3,4,NA,12,NA,NA,0,0,NA,0,2,48,0,1,NA,1
"21275",1,0,1,12,10,7,1948,1900,48,54382.6015625,1119,1,1,77919.0390625,18,3,73,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"21280",0,0,1,17,3,10,1952,1683,45,71040,3215,1,1,157664.40625,15,2,64,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"21296",1,0,1,12,5,11,1959,2880,37,62160,1258,3,1,84064,9,2,70,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"21301",0,0,1,17,12,11,1947,2270,49,88800,4577,2,NA,253376,29,3,64,NA,NA,NA,NA,NA,NA,0,4,30,0,1,NA,1
"21328",0,0,1,17,12,8,1971,2499,25,37074,5884,0,0,37094.71875,7,2,67,17,17,76960,88948,0,0,0,4,5,0,0,1,0
"21337",0,0,1,12,4,10,1955,2000,41,14800,5959,0,NA,72224,7,1,NA,12,NA,NA,18204,0,NA,0,3,23,0,1,NA,1
"21344",1,0,1,12,1,10,1955,NA,42,NA,4904,0,0,94231.6015625,NA,NA,NA,12,16,0,0,0,0,0,2,48,0,1,NA,0
"21367",1,0,1,16,1,11,1959,1080,38,37000,2980,3,1,44400,6,3,72,16,NA,NA,0,0,NA,0,4,4,0,1,1,0
"21374",1,0,1,12,1,10,1948,2080,49,40682.23828125,3412,0,0,51042.23828125,19,2,68,8,NA,NA,0,0,NA,0,1,37,0,1,1,0
"21378",0,0,1,16,12,11,1956,2250,40,74000,5646,2,NA,213120,NA,1,64,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"21380",0,0,1,12,3,10,1970,2499,27,22200,3570,0,1,49728,2,1,62,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"21382",1,0,1,12,11,12,1968,800,28,6216,1700,0,1,78588,NA,5,70,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"21385",0,0,1,14,2,11,1944,2450,53,74000,2086,0,1,177970,20,1,63,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"21449",1,0,1,14,5,12,1938,1728,59,6156.7998046875,1418,0,1,84323,30,3,73,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"21467",0,0,1,13,7,11,1967,0,29,0,6198,0,NA,40858.359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"21482",1,0,1,12,2,11,1960,2090,37,32560,5863,0,1,68524,13,2,70,NA,NA,NA,NA,NA,NA,0,1,18,0,1,1,0
"21492",1,0,1,12,7,6,1955,1887,41,34040,2359,0,1,60680,18,2,66,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"21499",1,0,1,16,3,12,1968,2080,28,19240,1216,1,1,69597,8,1,73,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"21500",1,0,1,17,10,12,1940,2390,56,38480,3115,0,1,82003.84375,NA,2,68,NA,NA,NA,NA,NA,NA,0,4,43,0,1,1,0
"21564",1,0,1,17,10,8,1969,2200,27,31080,5905,1,1,53724,9,1,71,NA,NA,NA,NA,NA,NA,0,2,33,0,1,1,0
